Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
25,SHA-3-512,0.0,8504,True,1.5850377082824707,5.90625,0.0,0.00011765960341359786
25,MD5,0.0,8501,True,1.5513317584991455,4.0,0.0,0.00011767474699929257
26,SHA-256,0.0,8500,True,1.606980800628662,4.8125,0.0,0.00011769985066831308
26,SHA-512,0.0,8502,True,1.637080430984497,5.71875,0.0,0.00011768470062115317
26,SHA-3-256,0.0,8503,True,1.5666162967681885,4.9375,0.0,0.00011766003603338465
26,SHA-3-512,0.0,8500,True,1.616685390472412,5.90625,0.0,0.00011771500461663395
26,MD5,0.0,8504,True,1.6268093585968018,4.0,0.0,0.00011763321962121965
27,SHA-256,0.0,8501,True,1.6288015842437744,4.8125,0.0,0.00011768599904379987
27,SHA-512,0.0,8500,True,1.6256117820739746,5.71875,0.0,0.00011771240651979453
27,SHA-3-256,0.0,8505,True,1.6234550476074219,4.9375,0.0,0.00011763235477918063
27,SHA-3-512,0.0,8502,True,1.624828815460205,5.90625,0.0,0.00011768729749509804
27,MD5,0.0,8502,True,1.5935840606689453,4.0,0.0,0.00011766090128250244
28,SHA-256,0.0,8504,True,1.5520727634429932,4.8125,0.0,0.0001176444637250635
28,SHA-512,0.0,8501,True,1.6179254055023193,5.71875,0.0,0.00011769855194000178
28,SHA-3-256,0.0,8501,True,1.624821424484253,4.9375,0.0,0.00011768773031856459
28,SHA-3-512,0.0,8500,True,1.5935983657836914,5.90625,0.0,0.00011771500461663395
28,MD5,0.0,8500,True,1.6092197895050049,4.0,0.0,0.00011768859597504864
29,SHA-256,0.0,8500,True,0.8999283313751221,4.8125,0.0,0.00011769985066831308
29,SHA-512,0.0,8500,True,0.7419106960296631,5.71875,0.0,0.00011771240651979453
29,SHA-3-256,0.0,8503,True,0.7042953968048096,4.9375,0.0,0.00011766003603338465
29,SHA-3-512,0.0,8501,True,0.7030503749847412,5.90625,0.0,0.00011770114942528596
29,MD5,0.0,8502,True,0.7187409400939941,4.0,0.0,0.00011766090128250244
30,SHA-256,0.0,8502,True,0.7348031997680664,4.8125,0.0,0.00011767215067918756
30,SHA-512,0.0,8501,True,0.6741187572479248,5.71875,0.0,0.00011769855194000178
30,SHA-3-256,0.0,8502,True,0.671804666519165,4.9375,0.0,0.0001176738815465276
30,SHA-3-512,0.0,8502,True,0.681311845779419,5.90625,0.0,0.00011768729749509804
30,MD5,0.0,8500,True,0.6758115291595459,4.0,0.0,0.00011768859597504864
31,SHA-256,0.0,8503,True,0.6839272975921631,4.8125,0.0,0.00011765830557332548
31,SHA-512,0.0,8504,True,0.6784782409667969,5.71875,0.0,0.00011765700776168435
31,SHA-3-256,0.0,8501,True,0.7139451503753662,4.9375,0.0,0.00011768773031856459
31,SHA-3-512,0.0,8501,True,0.7031500339508057,5.90625,0.0,0.00011770114942528596
31,MD5,0.0,8504,True,0.7353379726409912,4.0,0.0,0.00011763321962121965
32,SHA-256,0.0,8502,True,0.6874158382415771,4.8125,0.0,0.00011767215067918756
32,SHA-512,0.0,8501,True,0.6718060970306396,5.71875,0.0,0.00011769855194000178
32,SHA-3-256,0.0,8502,True,0.6731202602386475,4.9375,0.0,0.0001176738815465276
32,SHA-3-512,0.0,8503,True,0.6885643005371094,5.90625,0.0,0.0001176734488249189
32,MD5,0.0,8502,True,0.6873612403869629,4.0,0.0,0.00011766090128250244
33,SHA-256,0.0,8501,True,0.6896529197692871,4.8125,0.0,0.00011768599904379987
33,SHA-512,0.0,8502,True,0.6872899532318115,5.71875,0.0,0.00011768470062115317
33,SHA-3-256,0.0,8502,True,0.6874866485595703,4.9375,0.0,0.0001176738815465276
33,SHA-3-512,0.0,8504,True,0.6783370971679688,5.90625,0.0,0.00011765960341359786
33,MD5,0.0,8504,True,0.7285265922546387,4.0,0.0,0.00011763321962121965
34,SHA-256,0.0,8501,True,0.6718027591705322,4.8125,0.0,0.00011768599904379987
34,SHA-512,0.0,8501,True,0.7464313507080078,5.71875,0.0,0.00011769855194000178
34,SHA-3-256,0.0,8502,True,0.6974711418151855,4.9375,0.0,0.0001176738815465276
34,SHA-3-512,0.0,8502,True,0.8275701999664307,5.90625,0.0,0.00011768729749509804
34,MD5,0.0,8501,True,0.6732280254364014,4.0,0.0,0.00011767474699929257
35,SHA-256,0.0,8502,True,0.7348113059997559,4.8125,0.0,0.00011767215067918756
35,SHA-512,0.0,8500,True,0.6864528656005859,5.71875,0.0,0.00011771240651979453
35,SHA-3-256,0.0,8501,True,0.6885857582092285,4.9375,0.0,0.00011768773031856459
35,SHA-3-512,0.0010673999786376953,8501,True,0.7512662410736084,5.90625,0.0,0.00011770113463799756
35,MD5,0.0,8504,True,0.7604794502258301,4.0,0.0,0.00011763321962121965
36,SHA-256,0.0,8500,True,0.7979960441589355,4.8125,0.0,0.00011769985066831308
36,SHA-512,0.0,8500,True,0.8653805255889893,5.71875,0.0,0.00011771240651979453
36,SHA-3-256,0.0,8501,True,0.7357454299926758,4.9375,0.0,0.00011768773031856459
36,SHA-3-512,0.0,8501,True,0.9084222316741943,5.90625,0.0,0.00011770114942528596
36,MD5,0.0,8500,True,0.8164019584655762,4.0,0.0,0.00011768859597504864
37,SHA-256,0.0,8504,True,0.8004608154296875,4.8125,0.0,0.0001176444637250635
37,SHA-512,0.0,8502,True,0.7228794097900391,5.71875,0.0,0.00011768470062115317
37,SHA-3-256,0.0,8501,True,0.6884493827819824,4.9375,0.0,0.00011768773031856459
37,SHA-3-512,0.0,8500,True,0.6995630264282227,5.90625,0.0,0.00011771500461663395
37,MD5,0.0,8501,True,0.7668161392211914,4.0,0.0,0.00011767474699929257
38,SHA-256,0.0,8502,True,0.8579511642456055,4.8125,0.0,0.00011767215067918756
38,SHA-512,0.0,8504,True,0.6971659660339355,5.71875,0.0,0.00011765700776168435
38,SHA-3-256,0.0,8501,True,0.7345519065856934,4.9375,0.0,0.00011768773031856459
38,SHA-3-512,0.0,8501,True,0.7262334823608398,5.90625,0.0,0.00011770114942528596
38,MD5,0.0,8502,True,0.7646183967590332,4.0,0.0,0.00011766090128250244
39,SHA-256,0.0,8502,True,0.7594187259674072,4.8125,0.0,0.00011767215067918756
39,SHA-512,0.015623092651367188,8501,True,0.7523279190063477,5.71875,0.0,0.00011769833551449201
39,SHA-3-256,0.0,8504,True,0.7444193363189697,4.9375,0.0,0.00011764619377798554
39,SHA-3-512,0.0,8501,True,0.6909770965576172,5.90625,0.0,0.00011770114942528596
39,MD5,0.0,8503,True,0.8556833267211914,4.0,0.0,0.00011764705882352803
40,SHA-256,0.0,8502,True,1.2427046298980713,4.8125,0.0,0.00011767215067918756
40,SHA-512,0.0,8500,True,0.8447210788726807,5.71875,0.0,0.00011771240651979453
40,SHA-3-256,0.0,8502,True,0.6976971626281738,4.9375,0.0,0.0001176738815465276
40,SHA-3-512,0.0,8501,True,0.7203595638275146,5.90625,0.0,0.00011770114942528596
40,MD5,0.0,8503,True,0.6898617744445801,4.0,0.0,0.00011764705882352803
41,SHA-256,0.0,8502,True,0.7103836536407471,4.8125,0.0,0.00011767215067918756
41,SHA-512,0.0,8502,True,0.7191622257232666,5.71875,0.0,0.00011768470062115317
41,SHA-3-256,0.0,8504,True,0.689030647277832,4.9375,0.0,0.00011764619377798554
41,SHA-3-512,0.0,8502,True,0.6948213577270508,5.90625,0.0,0.00011768729749509804
41,MD5,0.0014600753784179688,8502,True,0.6866791248321533,4.0,0.0,0.00011766088106909433
42,SHA-256,0.0,8503,True,0.7043673992156982,4.8125,0.0,0.00011765830557332548
42,SHA-512,0.0,8503,True,0.6800029277801514,5.71875,0.0,0.00011767085256209757
42,SHA-3-256,0.0,8501,True,0.687427282333374,4.9375,0.0,0.00011768773031856459
42,SHA-3-512,0.0,8503,True,0.6831986904144287,5.90625,0.0,0.0001176734488249189
42,MD5,0.0,8502,True,0.6837153434753418,4.0,0.0,0.00011766090128250244
43,SHA-256,0.0,8503,True,0.664360523223877,4.8125,0.0,0.00011765830557332548
43,SHA-512,0.0,8504,True,0.6926519870758057,5.71875,0.0,0.00011765700776168435
43,SHA-3-256,0.0,8501,True,0.7186324596405029,4.9375,0.0,0.00011768773031856459
